load	arm	rep	d	prompt_tok	prefill_t/s	ttft_s	decode_t/s	accept	mean_len	steps/s
B1	B	1	5000	3936	1511.86	2.60	45.51	0.68482	3.20	14.22
B1	B	1	20000	15623	1413.74	11.05	47.83	0.71713	3.37	14.20
B1	B	1	80000	62269	1141.25	54.56	45.15	0.77119	3.46	13.05
B1	B	1	155000	120520	918.76	131.18	54.60	0.91324	4.34	12.58
B1	B	2	5000	3936	1485.70	2.65	85.22	0.97619	4.74	17.98
B1	B	2	20000	15623	1399.33	11.16	75.42	0.92627	4.41	17.09
B1	B	2	80000	62269	1137.03	54.76	64.76	0.94313	4.41	14.67
B1	B	2	155000	120520	916.53	131.50	51.85	0.85217	4.06	12.76
C	C	1	5000	3935	1654.33	2.38	73.86	0.84052	4.20	17.60
C	C	1	20000	15622	1517.75	10.29	74.67	0.90411	4.34	17.21
C	C	1	80000	62268	1205.87	51.64	41.35	0.63469	2.98	13.89
C	C	1	155000	120519	959.41	125.62	57.30	0.90826	4.34	13.21
C	C	2	5000	3935	1625.40	2.42	46.00	0.65056	3.16	14.55
C	C	2	20000	15622	1502.98	10.39	83.95	0.96172	4.65	18.04
C	C	2	80000	62268	1202.70	51.77	69.52	0.91781	4.49	15.48
C	C	2	155000	120519	957.75	125.84	64.76	0.98095	4.74	13.66
B2	B	1	5000	3936	1508.27	2.61	43.86	0.64312	3.05	14.39
B2	B	1	20000	15623	1409.10	11.09	74.82	0.90950	4.41	16.95
B2	B	1	80000	62269	1138.50	54.69	41.10	0.67181	3.12	13.17
B2	B	1	155000	120520	916.03	131.57	58.61	0.92593	4.49	13.05
B2	B	2	5000	3936	1481.08	2.66	87.18	0.99517	4.83	18.05
B2	B	2	20000	15623	1394.93	11.20	47.22	0.71315	3.28	14.39
B2	B	2	80000	62269	1133.36	54.94	60.48	0.90090	4.34	13.94
B2	B	2	155000	120520	914.53	131.78	53.33	0.87500	4.20	12.71
