arm	rep	depth_req	prompt_tok	prefill_t/s	decode_t/s	accept	mean_len
baseline	1	4000	3157	1298.09	58.71	0.89545	4.34
baseline	1	16000	12494	1353.70	66.11	0.97585	4.74
baseline	1	50000	38971	1208.64	63.33	0.98068	4.83
baseline	1	100000	77825	1028.95	58.26	0.99515	4.83
baseline	2	4000	3157	1283.34	61.93	0.93548	4.49
baseline	2	16000	12494	1340.43	66.06	0.97630	4.74
baseline	2	50000	38971	1202.49	62.02	0.97630	4.74
baseline	2	100000	77825	1026.65	58.16	0.99515	4.83
baseline	3	4000	3157	1282.99	57.53	0.86842	4.27
baseline	3	16000	12494	1338.33	66.00	0.98565	4.74
baseline	3	50000	38971	1200.76	61.85	0.97630	4.74
baseline	3	100000	77825	1024.85	52.24	0.93458	4.49
patched	1	4000	3157	1425.74	65.53	0.86784	4.13
patched	1	16000	12494	1430.11	79.23	0.96667	4.74
patched	1	50000	38971	1254.37	70.31	0.97101	4.65
patched	1	100000	77825	1064.58	66.69	0.99038	4.74
patched	2	4000	3157	1407.31	74.28	0.93519	4.49
patched	2	16000	12494	1414.54	68.55	0.90868	4.34
patched	2	50000	38971	1250.21	75.29	0.99517	4.83
patched	2	100000	77825	1062.00	66.58	0.99038	4.74
patched	3	4000	3157	1406.83	42.99	0.65074	3.12
patched	3	16000	12494	1413.09	76.55	0.94836	4.65
patched	3	50000	38971	1248.23	75.34	0.99517	4.83
patched	3	100000	77825	1060.90	43.82	0.74597	3.61
