[radiance.router] router GEMM kernel ENABLED (n in [6,16], WV=8 SK=4, wave32)
# 5 distinct (K,N) from census /out/shapes.json
# group_size=128 M_VALUES=[5, 10, 20, 1664, 2560] grid=4x5x3x2=120 stage-1 configs
shape	M	class	cur_cfg	cur_ms	best_cfg	best_ms	pct
# K6144xN5120 K=6144 N=5120 class=else correctness_max_err=0.0039
K6144xN5120	5	else	(16,16,128,4)	0.0811	(32,32,128,4,ns=2)	0.0674	+20.3%
K6144xN5120	10	else	(16,16,128,4)	0.0809	(32,32,64,4,ns=2)	0.0583	+38.7%
K6144xN5120	20	else	(16,16,128,4)	0.1444	(32,32,128,4,ns=1)	0.0591	+144.4%
K6144xN5120	1664	else	(128,128,32,8)	1.1597	(256,128,32,8,ns=None)	1.0656	+8.8%
K6144xN5120	2560	else	(128,128,32,8)	1.7891	(256,128,32,8,ns=None)	1.5303	+16.9%
# K5120xN34816 K=5120 N=34816 class=wideN correctness_max_err=0.0039
K5120xN34816	5	wideN	(16,16,128,4)	0.3714	(32,32,64,4,ns=2)	0.2578	+44.1%
K5120xN34816	10	wideN	(16,16,128,4)	0.3672	(32,128,64,8,ns=None)	0.2455	+49.6%
K5120xN34816	20	wideN	(16,16,128,4)	0.7683	(32,128,64,8,ns=1)	0.2426	+216.6%
K5120xN34816	1664	wideN	(256,64,64,8)	6.7365	(256,128,32,8,ns=2)	5.9764	+12.7%
K5120xN34816	2560	wideN	(256,64,64,8)	9.6044	(256,128,32,8,ns=3)	8.7093	+10.3%
# K17408xN5120 K=17408 N=5120 class=tallK correctness_max_err=0.0078
K17408xN5120	5	tallK	(16,16,128,4)	0.1902	(32,32,64,4,ns=2)	0.1418	+34.1%
K17408xN5120	10	tallK	(16,16,128,4)	0.1999	(32,32,128,4,ns=1)	0.1448	+38.0%
K17408xN5120	20	tallK	(16,16,128,4)	0.3975	(32,32,128,4,ns=2)	0.1421	+179.6%
K17408xN5120	1664	tallK	(128,64,64,8)	3.4630	(256,128,32,8,ns=None)	3.0611	+13.1%
K17408xN5120	2560	tallK	(128,64,64,8)	6.0177	(256,128,32,8,ns=1)	4.7304	+27.2%
# K5120xN16384 K=5120 N=16384 class=else correctness_max_err=0.0039
K5120xN16384	5	else	(16,16,128,4)	0.1687	(32,32,64,4,ns=1)	0.1160	+45.4%
K5120xN16384	10	else	(16,16,128,4)	0.1805	(32,128,64,8,ns=2)	0.1153	+56.5%
K5120xN16384	20	else	(16,16,128,4)	0.3527	(32,128,64,8,ns=1)	0.1174	+200.3%
K5120xN16384	1664	else	(128,128,32,8)	3.0344	(256,128,32,8,ns=None)	2.7953	+8.6%
K5120xN16384	2560	else	(128,128,32,8)	4.8421	(256,128,32,8,ns=None)	4.1853	+15.7%
# K5120xN14336 K=5120 N=14336 class=else correctness_max_err=0.0039
K5120xN14336	5	else	(16,16,128,4)	0.1593	(32,64,128,8,ns=2)	0.1031	+54.5%
K5120xN14336	10	else	(16,16,128,4)	0.1622	(32,64,128,8,ns=2)	0.1024	+58.4%
K5120xN14336	20	else	(16,16,128,4)	0.3139	(32,64,64,8,ns=3)	0.1079	+190.8%
K5120xN14336	1664	else	(128,128,32,8)	2.6859	(256,128,32,8,ns=None)	2.4847	+8.1%
K5120xN14336	2560	else	(128,128,32,8)	4.1927	(256,128,32,8,ns=None)	3.5361	+18.6%


=== DONE in 1447s ===
